epoch,acc,loss,lr,val_acc,val_loss
0,0.50294094110115239,1.7634958991167946,0.001,0.62480000000000002,1.3736828325271606
1,0.62758165225744478,1.3351428745802953,0.001,0.67120000000000002,1.2068426885604859
2,0.66896813960934998,1.1938740922745856,0.001,0.68069999999999997,1.1622667524337769
3,0.7003482228626321,1.1064965886982672,0.001,0.7218,1.0144317766189574
4,0.72316282420749278,1.0408450704792009,0.001,0.71640000000000004,1.0868314414978026
5,0.73575088056356064,0.99965871056035438,0.001,0.73640000000000005,0.9951441633224487
6,0.74975984630163306,0.96428067528434258,0.001,0.73509999999999998,1.0193506729125976
7,0.76186759526096703,0.93136283655102503,0.001,0.75900000000000001,0.93939518041610715
8,0.76917227025296186,0.91268131426042598,0.001,0.75970000000000004,0.94374198045730595
9,0.77871837976304836,0.88531587614755081,0.001,0.75190000000000001,0.9538170799255371
10,0.78236071085494718,0.8749141533558773,0.001,0.79290000000000005,0.84910756120681763
11,0.78882484790265772,0.85750112266751233,0.001,0.78220000000000001,0.89475714139938356
12,0.79286743515850144,0.84643866519228683,0.001,0.77270000000000005,0.9026294286727905
13,0.79911143131604223,0.82949746176099459,0.001,0.78049999999999997,0.89621362543106076
14,0.79897134165866157,0.82467128010541246,0.001,0.77980000000000005,0.88234540100097658
15,0.80353426192763366,0.81810980193553118,0.001,0.79520000000000002,0.85172812032699585
16,0.8083773615113673,0.80416067366870292,0.001,0.79500000000000004,0.84817978773117064
17,0.81157941082292673,0.79600483658143506,0.001,0.79859999999999998,0.84536077070236204
18,0.81434117835414666,0.78982855215921566,0.001,0.80549999999999999,0.80772429838180537
19,0.81376080691642649,0.78943115218953752,0.001,0.79790000000000005,0.83016769771575927
20,0.81906420108869682,0.775925518704499,0.001,0.80430000000000001,0.80873256015777584
21,0.81946445725264172,0.77502781748199101,0.001,0.80400000000000005,0.82280893735885619
22,0.81976464937560034,0.76875030633695529,0.001,0.79530000000000001,0.8463488421440124
23,0.82140569964777455,0.76756947587554059,0.001,0.79869999999999997,0.83572071390151981
24,0.82380723663144417,0.76409834060308612,0.001,0.81040000000000001,0.78881869249343872
25,0.82662904258725589,0.7549313321695319,0.001,0.78410000000000002,0.87445405683517452
26,0.82636887608069165,0.756745804970821,0.001,0.81330000000000002,0.79690128145217898
27,0.83053154018571884,0.74486578553867311,0.001,0.78920000000000001,0.87569365854263304
28,0.83179234710214534,0.7404981643161902,0.001,0.81020000000000003,0.80324576969146733
29,0.8315121677873839,0.73940535695591758,0.001,0.79269999999999996,0.84736983652114872
30,0.83409382004482868,0.73373443136374006,0.001,0.80330000000000001,0.82407305412292475
31,0.86929634966378477,0.62260517496120615,0.000316228,0.84909999999999997,0.68261796998977664
32,0.87918267691322449,0.57989271065763581,0.000316228,0.85119999999999996,0.66717270011901852
33,0.88256484149855907,0.56201021331760537,0.000316228,0.85409999999999997,0.64854311847686763
34,0.88886887608069165,0.53873743906526506,0.000316228,0.8508,0.66047815132141108
35,0.88966938840858145,0.52849432743019376,0.000316228,0.85450000000000004,0.6480259614944458
