epoch,acc,loss,lr,val_acc,val_loss
0,0.44686299615877079,3.2480121330476144,0.001,0.54179999999999995,2.0364874919891358
1,0.54947166186359275,1.8933204055557715,0.001,0.59340000000000004,1.6363597408294677
2,0.60794908741594622,1.6159921799796231,0.001,0.53859999999999997,3.2157567741394044
3,0.65443884085814918,1.4054898527086144,0.001,0.66279999999999994,1.400158723449707
4,0.68697966698687163,1.2812191402915958,0.001,0.7157,1.1781331466674805
5,0.71059478065962212,1.186026808240648,0.001,0.73109999999999997,1.106366975593567
6,0.73268892090938198,1.1193307766042533,0.001,0.74809999999999999,1.0573095542907716
7,0.74621757925072041,1.0684070597464481,0.001,0.74839999999999995,1.0445402257919312
8,0.75792507204610948,1.0268608967234147,0.001,0.75619999999999998,1.034295548915863
9,0.7657500800512328,0.99588420115866949,0.001,0.73839999999999995,1.0521914741516114
10,0.77299471661863595,0.96829138041077001,0.001,0.75309999999999999,1.0183312274932861
11,0.78069964777457568,0.94461141218942135,0.001,0.78190000000000004,0.93113515567779537
12,0.78514249119436441,0.92264207057223047,0.001,0.77559999999999996,0.95525853853225706
13,0.79146653858469418,0.90447529683768124,0.001,0.76780000000000004,0.98117911052703854
14,0.79530899775856545,0.88518780498522964,0.001,0.7762,0.95281087303161616
15,0.80165305795709252,0.87532780239530916,0.001,0.78520000000000001,0.9130228272438049
16,0.80511527377521619,0.85814688786306026,0.001,0.80489999999999995,0.85316157302856444
17,0.80647614473262885,0.85441069188043162,0.001,0.80779999999999996,0.8613582945823669
18,0.8129002561639449,0.83914723497073773,0.001,0.79320000000000002,0.90575963401794435
19,0.81586215177713739,0.82995254870145097,0.001,0.78510000000000002,0.92619526453018186
20,0.81496157540826131,0.82966329096755342,0.001,0.78339999999999999,0.91962722187042234
21,0.81882404739032977,0.81863084062337499,0.001,0.80059999999999998,0.89584390945434567
22,0.82114553314121042,0.80853141363790082,0.001,0.79349999999999998,0.88550324783325196
23,0.86285222542427154,0.67151058517966633,0.000316228,0.84609999999999996,0.71165782909393316
24,0.87726144732628886,0.61360279046263866,0.000316228,0.84819999999999995,0.6959980215072632
25,0.88070365033621523,0.59211605739562967,0.000316228,0.85619999999999996,0.67543181328773494
26,0.88456612231828369,0.57287307347466543,0.000316228,0.85799999999999998,0.66351261825561525
27,0.88876881203970537,0.55441629740621579,0.000316228,0.8478,0.68980676069259639
28,0.89153057957092541,0.54280936385895862,0.000316228,0.86009999999999998,0.65493310937881466
29,0.89433237271853983,0.52794485772759192,0.000316228,0.86099999999999999,0.64149788537025454
30,0.8973142811399295,0.51675800231455082,0.000316228,0.85860000000000003,0.65114020605087275
31,0.89963576689081015,0.50864622269805104,0.000316228,0.85870000000000002,0.64523818535804744
32,0.90133685558757604,0.49825122731067106,0.000316228,0.85840000000000005,0.66401134634017944
33,0.90343820044828693,0.48969144173970863,0.000316228,0.85060000000000002,0.68420467386245731
34,0.90345821325648412,0.48980841765867911,0.000316228,0.86070000000000002,0.64600957050323482
35,0.9072606468139609,0.47775920573771097,0.000316228,0.86360000000000003,0.63402119026184078
36,0.90577969900736466,0.47364297229587898,0.000316228,0.85799999999999998,0.64271225371360774
37,0.90744076208773616,0.47015255262101263,0.000316228,0.86119999999999997,0.64538709511756898
38,0.91006243996157543,0.46477260523372227,0.000316228,0.85860000000000003,0.65006540570259097
39,0.9101625040025616,0.4617452960231157,0.000316228,0.86050000000000004,0.64684190220832827
40,0.91176352865834132,0.45359009849769427,0.000316228,0.8528,0.66157995252609247
41,0.91324447646493756,0.44803926850640158,0.000316228,0.85160000000000002,0.66100012149810794
42,0.93173631123919309,0.39506091211817795,0.0001,0.871,0.60418965921401979
43,0.93778017931476143,0.37262240188685969,0.0001,0.871,0.61168375740051273
44,0.94272334293948123,0.35560021522981861,0.0001,0.87050000000000005,0.61779667396545412
45,0.94356388088376564,0.35183454285132132,0.0001,0.87160000000000004,0.62465100560188291
46,0.94618555875760491,0.34351898298941475,0.0001,0.87339999999999995,0.6234197659492493
47,0.94852705731668263,0.33387140077522387,0.0001,0.87409999999999999,0.62203627924919125
48,0.94980787704130643,0.33098569891695562,0.0001,0.87250000000000005,0.63131322708129878
49,0.95581171950048027,0.31523415836584023,3.16228e-05,0.87560000000000004,0.61168458762168887
50,0.95809317963496643,0.30789859737488767,3.16228e-05,0.87609999999999999,0.61737981758117677
51,0.95975424271533782,0.29947516581701461,3.16228e-05,0.87570000000000003,0.62158191461563106
52,0.95973422990714052,0.29866551729757129,3.16228e-05,0.87649999999999995,0.62082466464042663
53,0.96031460134486069,0.29425939507221816,3.16228e-05,0.87370000000000003,0.62166618666648865
54,0.96361671469740628,0.28974297765810597,1e-05,0.87619999999999998,0.61875626249313354
55,0.96431716298430992,0.28395950473580189,1e-05,0.87749999999999995,0.62036381111145023
56,0.96383685558757604,0.28372596199986572,1e-05,0.87790000000000001,0.62153790497779848
57,0.9648174831892411,0.28329545488504121,1e-05,0.87709999999999999,0.62310061864852906
58,0.96477745757284661,0.28344438799749078,1e-05,0.87709999999999999,0.62210812649726865
59,0.96639849503682351,0.28155411469737879,3.16228e-06,0.87680000000000002,0.62254666247367862
60,0.96485750880563559,0.28145029273431654,3.16228e-06,0.87619999999999998,0.62461026625633242
61,0.96437720140890171,0.28356847704754706,3.16228e-06,0.87629999999999997,0.62407562866210942
62,0.96489753442203008,0.28074605302515987,3.16228e-06,0.877,0.62360922865867618
63,0.96505763688760804,0.27973502779900167,3.16228e-06,0.87649999999999995,0.62474632720947265
64,0.96525776496958049,0.27988445171457127,1e-06,0.87670000000000003,0.62331187863349913
65,0.96637848222862632,0.27842219651527905,1e-06,0.87770000000000004,0.62438027477264402
66,0.9664785462696126,0.27796682215370583,1e-06,0.87690000000000001,0.62381306600570674
67,0.96539785462696126,0.27941355934671358,1e-06,0.87739999999999996,0.62549261775016785
68,0.9656380083253282,0.27918297170714768,1e-06,0.87739999999999996,0.624538611125946
69,0.9652377521613833,0.27850613895990967,5e-07,0.87719999999999998,0.62523923559188843
70,0.96631844380403453,0.2768129833111807,5e-07,0.87719999999999998,0.62484433588981625
71,0.96517771373679151,0.28043753383940623,5e-07,0.87629999999999997,0.62276212620735172
72,0.96663864873519056,0.2771197639136142,5e-07,0.878,0.62599625058174135
73,0.96695885366634649,0.27513998698203412,5e-07,0.87649999999999995,0.62510846061706538
74,0.96589817483189244,0.27573840386433135,5e-07,0.877,0.62453403997421264
75,0.96619836695485106,0.27692265681185252,5e-07,0.87629999999999997,0.6260240883350372
76,0.96671869996797954,0.27756367180540592,5e-07,0.877,0.62497650103569036
77,0.9668788024335575,0.27547138423595985,5e-07,0.87729999999999997,0.62444228796958923
78,0.96573807236631448,0.27815814168835695,5e-07,0.87760000000000005,0.62579949274063107
79,0.96619836695485106,0.27631236345596966,5e-07,0.87680000000000002,0.62471033539772036
80,0.96677873839257122,0.27517922996062327,5e-07,0.87739999999999996,0.62524224896430969
81,0.96655859750240158,0.27633690777742592,5e-07,0.87839999999999996,0.62314236979484561
82,0.96631844380403453,0.27819162800435715,5e-07,0.87719999999999998,0.62402180523872375
83,0.96699887928274098,0.27629819376381626,5e-07,0.87729999999999997,0.62500827574729922
84,0.96665866154338775,0.27534424584911221,5e-07,0.87749999999999995,0.62395813536643985
85,0.96599823887287861,0.27698396674494236,5e-07,0.87780000000000002,0.6249005283355713
86,0.9668587896253602,0.27606163853603488,5e-07,0.87729999999999997,0.62601390080451969
87,0.96609830291386489,0.27683923365097951,5e-07,0.87780000000000002,0.62463062615394593
88,0.96739913544668588,0.27278116229459942,5e-07,0.87690000000000001,0.62432317390441894
89,0.96627841818764004,0.27702698696988004,5e-07,0.87719999999999998,0.62601238861083985
90,0.96673871277617673,0.27636698493391054,5e-07,0.87739999999999996,0.62587729258537295
91,0.96629843099583734,0.27800065449346839,5e-07,0.87749999999999995,0.62473977627754207
92,0.96739913544668588,0.27447064505759394,5e-07,0.87719999999999998,0.62564172053337097
93,0.96727905859750241,0.27531059843070838,5e-07,0.87670000000000003,0.62593888044357304
94,0.96665866154338775,0.27552920262610497,5e-07,0.87739999999999996,0.62777767395973205
95,0.96635846942042902,0.27665093331202611,5e-07,0.87729999999999997,0.62703332147598267
96,0.96663864873519056,0.27771625324506388,5e-07,0.87639999999999996,0.62674443325996398
97,0.96705891770733265,0.2768236042128287,5e-07,0.87719999999999998,0.62582673616409301
98,0.96643852065321811,0.27604428968137934,5e-07,0.87760000000000005,0.62558979749679566
99,0.96505763688760804,0.27801601718508812,5e-07,0.877,0.6269390370368958
100,0.96801953250080053,0.27355408943352161,5e-07,0.87749999999999995,0.62501045036315916
101,0.96591818764008963,0.27826360334217876,5e-07,0.87760000000000005,0.62579113764762884
102,0.96765930195325012,0.27360741222969737,5e-07,0.87749999999999995,0.62544013199806214
103,0.96693884085814918,0.27518552003516017,5e-07,0.87729999999999997,0.62607487545013429
104,0.96671869996797954,0.27617512268303224,5e-07,0.877,0.625698309135437
105,0.96611831572206208,0.27596500144720915,5e-07,0.877,0.62667236423492434
106,0.96623839257124555,0.27636348892014034,5e-07,0.87680000000000002,0.62588826346397397
107,0.96641850784502081,0.27512426208197743,5e-07,0.87780000000000002,0.62624052085876469
108,0.96735910983029139,0.27451006758014551,5e-07,0.87790000000000001,0.62556305370330811
109,0.96743916106308037,0.27429720431117727,5e-07,0.87760000000000005,0.62685592880249019
110,0.96693884085814918,0.27447077897241623,5e-07,0.87760000000000005,0.62536749448776241
111,0.96695885366634649,0.27535419318773713,5e-07,0.87719999999999998,0.62615348224639888
112,0.96691882804995199,0.27464107887087591,5e-07,0.87780000000000002,0.62588802595138548
113,0.96747918667947486,0.27396607093615599,5e-07,0.87829999999999997,0.62674158744812014
114,0.96675872558437403,0.27403224695961786,5e-07,0.87760000000000005,0.62643926644325254
115,0.96665866154338775,0.27376436280624017,5e-07,0.87809999999999999,0.62706537108421323
116,0.96753922510406665,0.27194082475494891,5e-07,0.87729999999999997,0.6260617765426636
117,0.96743916106308037,0.27515692871959785,5e-07,0.87729999999999997,0.62709124145507811
118,0.96599823887287861,0.27521071898185251,5e-07,0.87749999999999995,0.62668212542533874
119,0.96689881524175469,0.27550819448427705,5e-07,0.87829999999999997,0.62730480790138243
120,0.96709894332372714,0.27475478489392086,5e-07,0.87770000000000004,0.62731696186065677
121,0.96793948126801155,0.27231912406026038,5e-07,0.87770000000000004,0.62768798241615298
122,0.96699887928274098,0.27428320327459371,5e-07,0.87770000000000004,0.6271157352924347
123,0.96833973743195645,0.27059201448153808,5e-07,0.87870000000000004,0.6272815904140473
124,0.96785943003522257,0.27505197091874428,5e-07,0.87780000000000002,0.62659774470329288
125,0.96537784181876396,0.27738946598002895,5e-07,0.87749999999999995,0.62552711930274962
126,0.96677873839257122,0.27597324471423307,5e-07,0.87809999999999999,0.62713867897987363
127,0.96619836695485106,0.27451982562678617,5e-07,0.87809999999999999,0.6268437271595001
128,0.96621837976304836,0.27667329786032235,5e-07,0.87760000000000005,0.62952878708839421
129,0.96695885366634649,0.27464804922660269,5e-07,0.87760000000000005,0.62761295385360716
130,0.96713896894012163,0.27435549833130995,5e-07,0.87749999999999995,0.62746082105636591
131,0.9677193403778418,0.27237315744571949,5e-07,0.87739999999999996,0.6270990248680115
132,0.96713896894012163,0.27422912174068198,5e-07,0.87890000000000001,0.62715181779861451
133,0.96809958373358951,0.27252975012719383,5e-07,0.877,0.6284643068313599
134,0.96930035222542432,0.27040881370356784,5e-07,0.87780000000000002,0.62770104985237118
135,0.968139609349984,0.27158735435321246,5e-07,0.87770000000000004,0.62800553936958314
136,0.9681195965417867,0.27172927244939449,5e-07,0.87839999999999996,0.62753236675262447
137,0.96727905859750241,0.27409475342302875,5e-07,0.87790000000000001,0.62836378378868107
138,0.96705891770733265,0.27366973768431829,5e-07,0.87829999999999997,0.62635151796340938
139,0.96747918667947486,0.27373820709334784,5e-07,0.87870000000000004,0.62898484506607055
140,0.96761927633685563,0.27130770906591278,5e-07,0.87829999999999997,0.62577902898788451
141,0.96787944284341976,0.27304093552597664,5e-07,0.87790000000000001,0.62987295217514039
142,0.96825968619916747,0.2704844100235595,5e-07,0.87809999999999999,0.62905435094833373
143,0.96843980147294273,0.27149485685754349,5e-07,0.877,0.62764248857498173
144,0.9673190842138969,0.27526993424492391,5e-07,0.87839999999999996,0.62735884919166562
145,0.9685398655139289,0.27076347600734274,5e-07,0.87749999999999995,0.62836948723793029
